,n_estimators,criterion,min_sample_leaf,precision,recall,ROC,f1,acc
29,200,entropy,90,0.6167664670658682,0.7304964539007093,0.6382978723404256,0.6688311688311689,0.6382978723404256
30,250,gini,50,0.6410256410256411,0.7092198581560284,0.6560283687943262,0.6734006734006734,0.6560283687943262
31,250,gini,60,0.6424242424242425,0.75177304964539,0.6666666666666666,0.6928104575163399,0.6666666666666666
32,250,gini,70,0.6257668711656442,0.723404255319149,0.6453900709219857,0.6710526315789475,0.6453900709219859
33,250,gini,80,0.6257668711656442,0.723404255319149,0.6453900709219857,0.6710526315789475,0.6453900709219859
34,250,gini,90,0.6181818181818182,0.723404255319149,0.6382978723404256,0.6666666666666667,0.6382978723404256
35,250,entropy,50,0.65,0.7375886524822695,0.6702127659574468,0.6910299003322258,0.6702127659574468
36,250,entropy,60,0.654320987654321,0.75177304964539,0.677304964539007,0.6996699669966997,0.6773049645390071
37,250,entropy,70,0.6358024691358025,0.7304964539007093,0.6560283687943262,0.67986798679868,0.6560283687943262
38,250,entropy,80,0.6319018404907976,0.7304964539007093,0.6524822695035462,0.6776315789473684,0.6524822695035462
39,250,entropy,90,0.6167664670658682,0.7304964539007093,0.6382978723404256,0.6688311688311689,0.6382978723404256
40,300,gini,50,0.6582278481012658,0.7375886524822695,0.6773049645390071,0.6956521739130435,0.6773049645390071
41,300,gini,60,0.6583850931677019,0.75177304964539,0.6808510638297872,0.7019867549668873,0.6808510638297872
42,300,gini,70,0.6392405063291139,0.7163120567375887,0.6560283687943262,0.6755852842809364,0.6560283687943262
43,300,gini,80,0.625,0.7092198581560284,0.6418439716312058,0.6644518272425249,0.6418439716312057
44,300,gini,90,0.6196319018404908,0.7163120567375887,0.6382978723404256,0.6644736842105263,0.6382978723404256
45,300,entropy,50,0.6540880503144654,0.7375886524822695,0.6737588652482269,0.6933333333333332,0.6737588652482269
46,300,entropy,60,0.654320987654321,0.75177304964539,0.677304964539007,0.6996699669966997,0.6773049645390071
47,300,entropy,70,0.6455696202531646,0.723404255319149,0.6631205673758865,0.6822742474916389,0.6631205673758865
48,300,entropy,80,0.6289308176100629,0.7092198581560284,0.6453900709219859,0.6666666666666666,0.6453900709219859
49,300,entropy,90,0.6219512195121951,0.723404255319149,0.6418439716312057,0.6688524590163935,0.6418439716312057
50,350,gini,50,0.6582278481012658,0.7375886524822695,0.6773049645390071,0.6956521739130435,0.6773049645390071
51,350,gini,60,0.65625,0.7446808510638298,0.6773049645390071,0.6976744186046511,0.6773049645390071
52,350,gini,70,0.643312101910828,0.7163120567375887,0.6595744680851063,0.6778523489932886,0.6595744680851063
53,350,gini,80,0.625,0.7092198581560284,0.6418439716312058,0.6644518272425249,0.6418439716312057
54,350,gini,90,0.6273291925465838,0.7163120567375887,0.6453900709219859,0.6688741721854304,0.6453900709219859
55,350,entropy,50,0.660377358490566,0.7446808510638298,0.6808510638297873,0.7,0.6808510638297872
56,350,entropy,60,0.6521739130434783,0.7446808510638298,0.6737588652482269,0.695364238410596,0.6737588652482269
57,350,entropy,70,0.6496815286624203,0.723404255319149,0.6666666666666666,0.6845637583892618,0.6666666666666666
58,350,entropy,80,0.6289308176100629,0.7092198581560284,0.6453900709219859,0.6666666666666666,0.6453900709219859
